"timeMillisSpent","score"
3666,"-12hard/14medium/2414soft"
3946,"-8hard/28medium/2413soft"
3951,"-4hard/42medium/2407soft"
3955,"-4hard/57medium/2397soft"
3965,"-4hard/71medium/2396soft"
3970,"-4hard/75medium/2395soft"
3975,"-4hard/80medium/2320soft"
4043,"-4hard/80medium/2400soft"
4048,"-4hard/80medium/2405soft"
4411,"-4hard/85medium/2410soft"
4525,"-4hard/85medium/2425soft"
5159,"-4hard/85medium/2440soft"
9579,"-4hard/85medium/2455soft"
11708,"-4hard/85medium/2470soft"
11805,"-4hard/85medium/2485soft"
