"timeMillisSpent","score"
691,"0hard/25medium/1150soft"
701,"0hard/50medium/1150soft"
1535,"0hard/50medium/1175soft"
2327,"0hard/50medium/1200soft"
2815,"0hard/50medium/1220soft"
2835,"0hard/50medium/1240soft"
