"timeMillisSpent","score"
4536,"0hard/71medium/2405soft"
4545,"0hard/83medium/2402soft"
4616,"0hard/83medium/2404soft"
6876,"0hard/83medium/2419soft"
6885,"0hard/83medium/2421soft"
