"timeMillisSpent","score"
988,"0hard/50medium/1323soft"
993,"0hard/66medium/1314soft"
3927,"0hard/66medium/1315soft"
3934,"0hard/66medium/1316soft"
4429,"0hard/66medium/1317soft"
4436,"0hard/66medium/1323soft"
4472,"0hard/66medium/1332soft"
4509,"0hard/66medium/1334soft"
4711,"0hard/66medium/1337soft"
4717,"0hard/66medium/1338soft"
4718,"0hard/66medium/1346soft"
