"timeMillisSpent","score"
693,"0hard/25medium/1150soft"
708,"0hard/50medium/1150soft"
1747,"0hard/50medium/1155soft"
1813,"0hard/50medium/1171soft"
2158,"0hard/50medium/1200soft"
2656,"0hard/50medium/1220soft"
2900,"0hard/50medium/1225soft"
3371,"0hard/50medium/1230soft"
4128,"0hard/50medium/1245soft"
7944,"0hard/50medium/1265soft"
