"timeMillisSpent","score"
189,"-12hard/25medium/753soft"
195,"-12hard/50medium/778soft"
303,"-8hard/50medium/703soft"
358,"-8hard/50medium/712soft"
401,"-8hard/66medium/728soft"
505,"-8hard/66medium/753soft"
727,"-8hard/66medium/762soft"
931,"-8hard/66medium/782soft"
1824,"-8hard/66medium/787soft"
